k,test_size_pct,metric,features,accuracy
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.798645
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToLowerRatio|wordCount,0.785576
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|wordCount,0.785576
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio,0.786060
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|wordCount,0.797193
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio,0.798645
13,15.00,EUCLIDEAN,averageWordLength|charCount|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio,0.798645
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.800581
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.798645
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|lexicalDiversity|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.800097
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.800097
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.785576
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.800097
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.800097
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|lexicalDiversity|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.798161
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797193
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|longWordToOtherWordsRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.802033
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.802033
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.781704
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToLowerRatio|wordCount,0.802033
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|wordCount,0.802033
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|longWordToOtherWordsRatio|properNounMidSentenceRatio|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio,0.800581
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|lexicalDiversity|properNounFirst|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|lexicalDiversity|properNounMidSentenceRatio|rarestRepeatedWord|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.797677
13,15.00,EUCLIDEAN,alnumToOtherCharsRatio|charCount|lexicalDiversity|properNounMidSentenceRatio|properNounFirst|upperToAllCharsRatio|upperToLowerRatio|wordCount,0.784608
